Level 1,Level 2 ,Cell Type ,Effect ID,Experiment ID,Term,platform_id,comparison_id,Estimate,-log(FDR),stage,Group Size,Disease Name,fdr
Stromal,Fibroblast,structural skin fibroblast,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,-0.014072886,1.839894219,datasets,25 | 8,atopic,0.014457919
Stromal,Fibroblast,fibroblast,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,-0.012039465,1.180149712,datasets,25 | 8,atopic,0.066046573
Stromal,Fibroblast,inflammatory skin fibroblast,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,0.002113558,1.062172277,datasets,25 | 8,atopic,0.086661804
Stromal,Stromal cell,noncontractile pericyte,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,0.000732340,1.197561980,datasets,25 | 8,atopic,0.063450934
Stromal,Stromal cell,pericyte,AD,GSE32924,DZ_vs_HC,skin_v1,AD__GSE32924__GPL570__AD_vs_HC,0.001269427,0.670400468,datasets,25 | 8,atopic,0.213599156
,,contractile pericyte,AD,GSE60709,DZ_vs_HC,skin_v1,AD__GSE60709__GPL6947__AD_vs_HC,-0.000524147,0.185482957,datasets,19 | 14,atopic,0.652404643
Epithelial,Epithelial cell,melanocyte,AD,GSE60709,DZ_vs_HC,skin_v1,AD__GSE60709__GPL6947__AD_vs_HC,-0.003953295,2.200296627,datasets,19 | 14,atopic,0.006305265
Epithelial,Epithelial cell,basal cell of epidermis,AD,GSE60709,DZ_vs_HC,skin_v1,AD__GSE60709__GPL6947__AD_vs_HC,-0.005061729,2.200296627,datasets,19 | 14,atopic,0.006305265
Epithelial,Epithelial cell,keratinocyte,AD,GSE60709,DZ_vs_HC,skin_v1,AD__GSE60709__GPL6947__AD_vs_HC,-0.005491346,0.572238844,datasets,19 | 14,atopic,0.267769530
Epithelial,Epithelial cell,prickle cell,AD,GSE60709,DZ_vs_HC,skin_v1,AD__GSE60709__GPL6947__AD_vs_HC,-0.000928008,0.443140884,datasets,19 | 14,atopic,0.360461691
